ts,cell_id,throughput_mean_5m,throughput_mean_15m,throughput_mean_30m,throughput_std_15m,throughput_lag_1,throughput_lag_5,throughput_lag_10,throughput_hour_mean,latency_mean_5m,latency_mean_15m,latency_mean_30m,latency_std_15m,latency_lag_1,latency_lag_5,latency_lag_10,latency_hour_mean,jitter_mean_5m,jitter_mean_15m,jitter_mean_30m,jitter_std_15m,jitter_lag_1,jitter_lag_5,jitter_lag_10,jitter_hour_mean,packet_loss_mean_5m,packet_loss_mean_15m,packet_loss_mean_30m,packet_loss_std_15m,packet_loss_lag_1,packet_loss_lag_5,packet_loss_lag_10,packet_loss_hour_mean,cell_load_mean_5m,cell_load_mean_15m,cell_load_mean_30m,cell_load_std_15m,cell_load_lag_1,cell_load_lag_5,cell_load_lag_10,cell_load_hour_mean,cell_load_hour_max,hour_of_day,day_of_week
2026-08-15 15:47:00+00:00,cell_001,100.362,101.06533333333333,100.216,3.2141647807970317,100.62,103.78,104.42,99.52700000000002,20.70800000000001,20.874,20.712333333333333,1.0133663841760947,20.89,21.46,21.71,20.95466666666667,5.242,5.216,5.143,0.24195040814153085,5.23,5.2,4.77,5.191333333333334,0.6480000000000001,0.8066666666666668,0.7536666666666672,0.2975295103402355,0.55,0.63,0.41,0.7573333333333331,89.50399999999999,92.10933333333334,92.26366666666667,5.091716615763681,94.84,89.14,99.34,93.94616666666667,100.0,15,5
2026-08-15 15:48:00+00:00,cell_001,99.722,101.03866666666666,100.276,3.223414043410952,103.13,103.01,100.92,99.63016666666665,20.90400000000001,20.912666666666667,20.721666666666668,1.0087224357511115,19.95,20.09,20.48,20.957,5.122000000000001,5.178,5.150666666666667,0.29253082865597124,5.14,5.18,5.26,5.1875,0.5900000000000001,0.744,0.7420000000000005,0.275338752395882,0.76,0.69,0.88,0.7551666666666663,90.66600000000001,92.252,92.46866666666666,5.15316851211871,92.22,89.5,94.43,93.93366666666667,100.0,15,5
2026-08-15 15:49:00+00:00,cell_001,101.02999999999999,101.19333333333334,100.25466666666667,3.133425023990984,99.81,94.01,100.61,99.685,21.100000000000012,21.13866666666667,20.784,0.9768525745411383,21.07,21.61,21.88,20.955166666666667,5.072000000000001,5.202,5.149,0.279954077866608,4.58,5.48,5.53,5.185666666666667,0.558,0.7246666666666667,0.7526666666666672,0.2684310676779623,0.4,0.84,1.13,0.7559999999999998,90.32000000000001,92.03,92.33633333333333,5.234502295894046,95.31,90.43,90.52,93.7865,100.0,15,5
2026-08-15 15:50:00+00:00,cell_001,101.458,101.43266666666666,100.43133333333334,3.1393117231740644,100.55,101.04,96.22,99.77466666666668,21.06400000000001,20.996,20.848666666666663,0.8382958904865874,22.59,21.0,19.37,20.97033333333333,5.072000000000001,5.176666666666667,5.162333333333334,0.2618523757129779,5.23,5.18,4.91,5.179166666666666,0.5680000000000002,0.7046666666666667,0.7386666666666671,0.27743381879110735,0.68,0.4,0.56,0.7499999999999998,90.958,91.93133333333334,92.187,5.38424535986648,88.7,80.53,92.4,93.51516666666666,100.0,15,5
2026-08-15 15:51:00+00:00,cell_001,101.152,101.07600000000001,100.61766666666668,3.0765212265095188,103.18,100.62,105.75,99.81766666666665,21.124000000000013,20.973333333333336,20.881333333333334,0.8273509073036813,20.82,20.89,20.49,20.976666666666667,5.022,5.1593333333333335,5.156666666666666,0.26593411285658874,5.18,5.23,5.54,5.178,0.5500000000000002,0.6439999999999999,0.7120000000000004,0.2137354840506174,0.45,0.55,0.82,0.7398333333333331,90.298,91.40933333333334,91.95733333333334,4.97560831409015,83.72,94.84,98.52,93.37416666666668,100.0,15,5
2026-08-15 15:52:00+00:00,cell_001,100.47999999999999,100.766,100.76066666666667,2.947051310817791,99.09,103.13,103.78,99.84033333333333,21.400000000000013,20.947999999999997,20.927000000000003,0.8087927511374069,21.19,19.95,21.46,20.951500000000003,4.860000000000001,5.13,5.142,0.32878564445528385,4.98,5.14,5.2,5.168666666666667,0.5860000000000001,0.6793333333333335,0.720666666666667,0.21608419875565799,0.46,0.76,0.63,0.7403333333333332,88.842,90.44933333333333,91.68566666666668,4.718703615351091,91.54,92.22,89.14,93.12833333333333,100.0,15,5
2026-08-15 15:53:00+00:00,cell_001,100.94999999999999,100.84866666666667,100.81766666666665,2.968989406390557,99.77,99.81,103.01,99.90616666666666,21.080000000000013,20.88066666666667,20.868999999999996,0.888638337708203,21.33,21.07,20.09,20.92883333333333,5.000000000000001,5.131333333333333,5.151333333333334,0.3293904905093212,4.33,4.58,5.18,5.175,0.6600000000000001,0.672,0.7303333333333338,0.21058422135860086,0.94,0.4,0.69,0.7431666666666665,88.482,90.388,91.63066666666667,4.66898459441244,84.94,95.31,89.5,93.05400000000002,100.0,15,5
2026-08-15 15:54:00+00:00,cell_001,101.97599999999998,101.18666666666667,100.96000000000001,3.2180266061851923,102.16,100.55,94.01,100.09783333333333,20.656000000000013,20.78666666666667,20.858333333333334,0.8490723229092529,19.47,22.59,21.61,20.916666666666668,4.92,5.084666666666666,5.139333333333332,0.3182736169367226,5.28,5.23,5.48,5.168333333333333,0.6660000000000001,0.6439999999999999,0.7230000000000004,0.16919135404981211,0.77,0.68,0.84,0.7441666666666665,89.508,90.60866666666668,91.75600000000001,4.753129595580664,93.51,88.7,90.43,93.09333333333333,100.0,15,5
2026-08-15 15:55:00+00:00,cell_001,102.17399999999999,101.71666666666667,101.07866666666665,2.9880563837384977,105.68,103.18,101.04,100.15100000000001,20.57800000000001,20.857333333333333,20.873333333333335,0.7624346966615374,20.47,20.82,21.0,20.908,4.8340000000000005,5.074,5.122666666666666,0.32710417737631253,4.83,5.18,5.18,5.150499999999999,0.708,0.6506666666666666,0.7253333333333337,0.16760781888645704,0.71,0.45,0.4,0.7431666666666664,92.76400000000001,91.11533333333334,91.87233333333333,5.3280187508611805,93.83,83.72,80.53,93.277,100.0,15,5
2026-08-15 15:56:00+00:00,cell_001,103.36799999999998,101.67066666666666,101.15100000000001,2.9262005269340405,104.17,99.09,100.62,100.28816666666667,20.03200000000001,20.722,20.787666666666667,0.9811014218757951,20.43,21.19,20.89,20.851833333333335,4.782000000000001,5.019333333333334,5.094333333333333,0.3118256533628111,4.75,4.98,5.23,5.1365,0.7780000000000001,0.65,0.7266666666666671,0.16690459207774155,0.66,0.46,0.55,0.7434999999999997,93.92999999999999,91.03866666666667,91.89833333333334,5.221060191552474,100.0,91.54,94.84,93.34349999999999,100.0,15,5
